Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
115,6.3,5.4,10.7,12.2,6.7,5.8,6,12.1,10.9
116,4.4,6.2,5.4,10.5,5.7,8.1,4.6,5.3,13
117,5.8,14.2,10.6,13.7,7.2,4,4.9,7.5,5
118,8.8,6.4,15.1,16.8,8,8.5,11.2,9.5,14.8
119,3.4,5.8,11.1,14.8,6.8,9.7,2.6,7.5,15.3
120,7.7,12.1,9,13.5,5.6,10.6,3.9,7.7,13.8
121,11.2,7.9,20.7,17.4,7.1,5.2,10.1,11.3,5.8
122,5.3,7.5,9.1,15.6,7.5,4.8,8.4,6.8,13.4
123,6.9,9.1,13.2,9.6,6.2,7.9,7.5,3.9,16.1
124,5.1,9,9.9,11.8,7.6,8.2,6.9,4.3,15.6
125,10.3,8.1,10.2,11.1,8,6.9,10.8,4.2,14.6
126,4.7,8.2,14.5,13.8,5.1,6.4,5.4,4.7,14.9
127,4.5,9,8.5,13.7,9.2,9.3,6.4,8.4,6
128,7.4,10.5,8.4,9.5,10.7,6.9,9.4,10.9,11.1
129,4.6,11.5,9.6,9.6,5.9,12.8,6.8,6.9,18.5
130,13.6,11.7,18.3,12.7,4.3,10.8,14,8.5,7.2
131,8.6,10.4,17.1,8.6,5.2,6.4,7.9,9.2,5.3
132,9.8,10.1,10,11.4,10.1,5.3,9.7,7.3,8.2
133,10.6,8.7,16,10.8,11.7,10.7,11.1,6.5,11.2
134,5.2,4.5,11.2,8.2,9.5,10.3,4.4,10.3,10.4
135,3.1,4.2,6.8,6.4,6.5,8.4,4.2,11.1,12.8
136,6.3,6.7,9.5,12.4,7.2,6.2,8.9,10.5,12.3
137,7.4,6,10.6,12,5.1,7.6,6.9,11.5,12.5
138,8.2,8.9,7.9,10.5,10.3,7.9,5.2,6.5,12.6
139,10.6,10.3,8.8,9.1,17,3.4,6.7,7.2,4.4
140,14,10.7,14.5,10.9,12.1,5.6,10.9,9.5,6.1
141,17,6.6,12.6,14,10.2,5.3,12.2,7.2,9.9
142,10,5.5,6.6,10.3,4.8,9.6,7.8,5.2,8.4
143,6.8,3.6,4.5,18,8.7,9.4,5.7,6.5,12.3
144,4.6,3,5.5,10.7,9.5,10.1,4.5,6,13.2
145,8.8,6.3,10.4,9.2,5.5,11.3,4.7,8.1,11.1
146,4.1,4.9,6.2,8.5,5.7,8.1,3.4,8.8,8.6
147,2.3,4.4,3.9,9.4,5.5,5.3,2.6,7.9,8
148,4.5,4.2,5.5,10,4.6,4.2,5.1,5.8,3.1
149,6.5,6.2,7.4,14.1,4.7,5.7,8.8,6,6.7
150,5.7,8.9,12.2,9.4,6.1,6.5,9.1,5.3,8
151,6.5,9.6,10.5,9.7,9.5,6,5.9,5.4,6
152,7.2,6.5,13,8.5,11.1,6.3,9.3,4.2,5.6
153,5.2,7.8,10.7,9.5,13,4.7,5.7,8.8,5.5
154,4.4,9.3,7.9,8.6,6,5,3.5,9.4,7.4
155,7,10.4,9.9,9,5.3,5,7.7,7.3,8.3
156,6.3,5.5,7,11.9,6.6,3,3.5,4.9,9.7
157,5.2,4.6,9.4,12,10,3.7,4.7,3.9,8.9
158,5.7,6.5,7.4,15.8,16.9,6.4,5.2,5.1,6
159,6.5,5.2,13.2,18,7.9,7.8,7.1,7,7
160,4.1,4.4,9.5,13.4,6.9,6.2,3.6,5.4,4.7
161,3.2,4.6,10,10.1,5.3,7.4,4.2,2.6,12.8
162,5.6,14.1,8.4,12.2,6.9,7.8,9.1,4.1,13.5
163,7.3,14.2,17,13.5,7.9,4.7,8.6,4.2,4.2
164,5.3,7.4,7.5,14.9,10.7,6,5.3,5.5,4.5
165,5.9,8.3,8.8,15,13.7,7,6.1,6,5.9
166,7,8.6,9.6,8.8,6.6,5.5,5.4,4.9,6.9
167,8.8,7.4,6.9,14.4,6.6,6.7,5.6,8.1,5.9
168,10.7,4.4,8.2,19.6,10.7,5.4,8,6.5,8.8
169,11.5,3.8,7.9,10.1,11,4.7,8.7,5.4,10.2
170,8.7,3.8,6.6,8.7,5.2,6.4,7.5,4.5,12.5
171,3.6,3.5,6.2,9.8,5,8.1,4.3,4.5,12.7
172,2.5,4.5,6.5,8.9,5.7,6,3.4,4.1,9.7
173,2.4,6.9,7.1,12.2,8.2,6.2,2.2,4,9.7
174,3.6,4.1,9.6,8.3,6.4,7,5.9,4.1,9.1
175,3.6,9.1,10.4,8.1,4.3,4.2,3.8,5.9,7.2
176,7.5,9.9,10.8,8.7,5.4,6.1,7,4.5,6.8
177,2.9,6.6,8.3,10.2,6.6,3.9,3,4.9,5.5
178,6.5,6.4,9.2,9.3,5.5,5.8,4,4.1,12.3
179,6.5,7.8,7.9,9.8,7.1,7.6,6.5,3.9,14.6
180,5.4,4,7.3,14.5,8.8,8.5,4.7,5,15.3
181,5.6,3.2,8.6,8.4,11.6,10.5,7.4,4,17.2
182,4.7,4.1,7.2,10.1,4.3,9.5,4.2,6.9,16.5
183,3.5,3.5,4.7,8,4,8.6,4.5,5.5,13.8
184,4,3.5,5.6,7.6,6.5,6,5.5,5.4,8.8
185,5.3,4.3,6.4,7.4,9.3,4.9,4.4,5.9,4.8
186,4.4,6.2,8,10.1,9.9,4.1,4.6,5,7.2
187,5,3.3,8.7,16.1,6.2,4.9,4.6,6.1,6.5
188,3.9,3.4,5.8,19.8,4.5,5.1,3.5,6.5,4.9
189,6.3,3.4,9.4,18.2,11.7,5.8,5.4,4.9,5.6
190,3.5,5.8,9.5,12.5,6,5.8,3,6.5,8.5
191,5,4,7.9,10,5.5,7.7,4.2,8,11.4
