year,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
333,10,8.3,10,10,10,6.7,10,10,9.7
334,10,10,10,9.7,10,6.4,10,9.5,7.8
335,6.9,5.3,7.4,10,9.3,10,7.6,9.7,10
336,10,3.5,9.5,7,10,10,10,10,10
337,10,10,10,10,10,8.1,10,10,10
338,10,10,10,10,10,9.4,10,10,10
339,10,8.9,10,9.2,10,10,9.9,10,9.9
340,8.3,9.8,7.7,9.9,9.8,9.9,8.2,10,10
341,10,9.8,10,8.6,9.2,9.8,10,10,10
342,10,10,10,10,6.6,10,10,9.7,10
343,10,9.2,10,10,7,10,10,10,10
344,10,5.5,9.3,9.8,6.4,10,10,10,10
345,9.6,3.7,10,9.7,4.8,10,10,10,10
346,6.8,3.4,10,10,7.5,9.7,9.5,9.7,9.6
347,6.4,5.1,6.6,7.3,8.2,6.1,9,9.6,10
348,9.9,9.9,10,8.2,10,6.6,10,7,9
349,8.2,10,9.7,10,6.5,10,7.8,9.8,10
350,10,10,10,10,9.7,7.6,10,10,9.1
351,7.5,6.7,8.7,10,10,9.4,7.4,8.7,8.7
352,7.6,3.8,3.5,8.7,9.2,9.9,8.4,9.6,9.2
353,9.8,4.8,10,10,7.9,9,9.2,10,10
354,10,7.3,10,10,10,8.2,9.8,10,9.1
355,10,4,9.3,9.4,10,5.8,10,10,10
356,7.6,5.4,5.7,9,10,9.2,5.7,9.5,10
357,9.7,7.6,8.1,10,10,9.5,9.2,10,10
358,10,10,10,10,10,10,10,10,10
359,8.7,8.8,10,8.9,10,9.9,7.4,10,10
360,9,4,6.7,8.9,10,10,9.2,9.7,10
361,10,8.3,10,7.8,9.5,10,10,10,10
362,10,8.3,10,10,9.4,10,10,10,10
363,10,9,10,9.9,10,9.7,10,10,10
364,10,9.4,10,10,9.8,10,10,10,9.8
365,10,6.7,10,10,10,9.2,10,10,7.5
366,10,9,9.5,9.4,9,4.7,10,10,7.6
